
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. mia_simple_fifo_synch, 68, 31, 28, 0, 0, 1, 0, 4, 39
.	. FSM_Address_0, 12, 3, 10, 0, 0, 0, 0, 1, 0
.	. FSM_Address_1, 12, 3, 10, 0, 0, 0, 0, 1, 0
.	. RD_Ctrl, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	. Sinchroniser, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff_18, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	. Sinchroniser_0, 2, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff_18_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. Sinchroniser_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff_19, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. Sinchroniser_2_0, 2, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff_19_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. d_ff_1_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	. WR_Ctrl, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_10, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_11, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_12, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_13, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_14, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_15, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_3, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_4, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_5, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_6, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_7, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_8, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. d_ff_0_9, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. ram_infer, 17, 16, 0, 0, 0, 1, 0, 0, 0
